category,name,guitar formula,ukulele formula,symbol,slug,variations
Triads,Major,1-3-5,1-3-5,maj,maj,;maj
Triads,Minor,1-b3-5,1-b3-5,m,m,m;minor triad;min;mi;-
Triads,Diminished,1-b3-b5,1-b3-b5,dim,dim,dim;Dim;diminished triad;º;°
Triads,Augmented,1-3-#5,1-3-#5,aug,aug,aug;Aug;augmented triad;+5
Triads,Suspended 2nd,1-2(9)-5,1-9-5,sus2,sus2,sus2
Triads,Suspended 4th,1-4-5,1-4-5,sus4,sus4,sus4
Triads,Major Flat 5th,1-3-b5,1-3-b5,b5,b5,b5
Triads,Minor Sharp 5th,1-b3-#5,1-b3-#5,m#5,m_sharp_5,m#5
Triads,Minor Double Flat 5th,,,,,
Triads,Suspended 4th Sharp 5th,1-4-#5,1-4-#5,sus4#5,sus4_sharp_5,sus4#5
Triads,Suspended 2nd Flat 5th,1-2(9)-b5,1-9-b5,sus2b5,sus2b5,sus2b5
Triads,Suspended 2nd Sharp 5th,1-2(9)-#5,1-9-#5,sus2#5,sus2_sharp_5,sus2#5
Seventh Chords,7th,1-3-5-b7,1-3-5-b7,7,7,7;7th
Seventh Chords,Minor 7th,1-b3-5-b7,1-b3-5-b7,m7,m7,m7;minor 7;min7;mi7;-7;Min7;Mi7
Seventh Chords,Major 7th,1-3-5-7,1-3-5-7,maj7,maj7,maj7;Maj7;major 7;ma7;M7;7M;7+;Ma7;major7
Seventh Chords,Minor Major 7th,1-b3-5-7,1-b3-5-7,m/maj7,m_maj7,m/maj7;mMaj7;-(maj7);m(maj7);m+7;M7b3;ma7b3;min(maj7)
Seventh Chords,Diminished 7th,1-b3-b5-bb7 (bb7 = 6),1-b3-b5-6,dim7,dim7,dim7;º7;°7
Seventh Chords,Augmented 7th,1-3-#5-b7,1-3-#5-b7,aug7,aug7,aug7;+7
Seventh Chords,Augmented Major 7th,1-3-#5-7,1-3-#5-7,augM7,augM7,augM7;+M7
Seventh Chords,7th Flat 5th,1-3-b5-b7,1-3-b5-b7,7b5,7b5,7b5
Seventh Chords,Major 7th Flat 5th,1-3-b5-7,1-3-b5-7,maj7b5,maj7b5,maj7b5
Seventh Chords,Minor 7th Flat 5th,1-b3-b5-b7,1-b3-b5-b7,m7b5,m7b5,m7b5
Seventh Chords,Minor Major 7th Flat 5th,1-b3-b5-7,1-b3-b5-7,mM7b5,mM7b5,mM7b5
Seventh Chords,Minor Major 7th Double Flat 5th,,,,,
Seventh Chords,Minor 7th Sharp 5th,,,,,
Seventh Chords,Minor Major 7th Sharp 5th,,,,,
Seventh Chords,7th Flat 9th,1-3-5-b7-b9,1-3-b7-b9,7b9,7b9,7b9
Sixth Chords,6th,1-3-5-6,1-3-5-6,6,6,6;major 6;maj6;ma6;add6;(add6);Add6;(Add6);Maj6;Ma6
Sixth Chords,Minor 6th,1-b3-5-6,1-b3-5-6,m6,m6,m6
Sixth Chords,6th Flat 5th,,,,,
Sixth Chords,6th Add 9th,1-3-5-6-9,1-3-6-9,6/9,6_9,6/9;69
Sixth Chords,Minor 6th Add 9th,,,,,
Ninth Chords,9th,1-3-5-b7-9,1-3-b7-9,9,9,9;7_9;7(9);79
Ninth Chords,Minor 9th,1-b3-5-b7-9,1-b3-b7-9,m9,m9,m9;min9;mi9;-9;m7(9);m7_9
Ninth Chords,Major 9th,1-3-5-7-9,1-3-7-9,maj9,maj9,maj9;Maj9;ma9;M9;7M(9);ma7(add9);ma7add9;maj7(9);maj7(add9);maj7add9
Ninth Chords,Minor Major 9th,1-b3-5-7-9,1-b3-5-7-9,m/maj9,m_maj9,m/maj9;mMaj9;-(maj9);-maj9;m+9;min(maj)9;-(Maj9);-Maj9;min(Maj)9
Ninth Chords,9th Flat 5th,,,,,
Ninth Chords,Augmented 9th,,,,,
Ninth Chords,9th Suspended 4th,,,,,
Ninth Chords,7th Sharp 9th,,,,,
Ninth Chords,7th Sharp 9th Flat 5th,,,,,
Ninth Chords,Augmented Major 9th,,,,,
Ninth Chords,Major Add 9th,1-3-5-9,1-3-5-9,add9,add9,add9
Eleventh Chords,11th,1-(3)-5-b7-(9)-11,1-3-b7-11,11,11,11
Eleventh Chords,Minor 11th,1-b3-5-b7-(9)-11,1-b3-b7-11,m11,m11,m11;m7(11);m11(no 9th);m7(add11);m7(add4);m7_4;m7add11;m7add4;m7sus;m7sus4;m7_11
Eleventh Chords,Major 11th,1-3-5-7-(9)-11,1-3-7-11,maj11,maj11,maj11;M11;Maj11
Eleventh Chords,Minor Major 11th,1-b3-5-7-(9)-11,1-b3-7-11,m/maj11,m_maj11,m/maj11
Eleventh Chords,Major Sharp 11th,,,,,
Thirteenth Chords,13th,1-3-5-b7-(9)-(11)-13,1-3-b7-13,13,13,13;7(13)
Thirteenth Chords,Minor 13th,1-b3-5-b7-(9)-(11)-13,1-b3-b7-13,m13,m13,m13;min13;mi13;-7add13;m7(add13);m7add13;-13;-7(add13)
Thirteenth Chords,Major 13th,1-3-5-7-(9)-(11)-13,1-3-7-13,maj13,maj13,maj13;Maj13;ma13;Ma13;M13
Thirteenth Chords,Minor Major 13th,1-b3-5-7-(9)-(11)-13,1-b3-7-13,m/maj13,m_maj13,m/maj13
Thirteenth Chords,Suspended Chords,,,,,
Thirteenth Chords,7th Suspended 2nd,,,,,
Thirteenth Chords,Major 7th Suspended 2nd,,,,,
Thirteenth Chords,7th Suspended 4th,,,,,
